TIPO_REG,U_DPTO,U_MPIO,UA_CLASE,COD_ENCUESTAS,U_VIVIENDA,F_NROHOG,FA1_NRO_FALL,FA2_SEXO_FALL,FA3_EDAD_FALL,FA4_CERT_DEFUN
3,13,001,1,146704,1,1,1,1,56,1
3,13,001,1,170416,1,1,1,1,93,1
3,13,001,1,170433,4,2,1,2,80,1
3,13,001,1,170468,1,1,1,2,70,1
3,13,001,1,170678,3,1,1,1,73,1
3,13,001,1,170690,5,1,1,1,48,1
3,13,001,1,170704,3,1,1,2,20,1
3,13,001,1,170780,1,1,1,2,100,1
3,13,001,1,170826,1,1,1,2,20,1
3,13,001,1,175798,2,1,1,1,88,1
3,13,001,1,191956,2,1,1,2,35,2
3,13,001,1,192007,1,1,1,2,88,9
3,13,001,1,195738,1,1,1,2,32,1
3,13,001,1,195747,1,1,1,1,12,1
3,13,001,1,195805,1,1,1,1,48,1
3,13,001,1,195831,3,1,1,1,0,1
3,13,001,1,205863,1,1,1,2,90,1
3,13,001,1,205882,6,1,1,1,96,1
3,13,001,1,205933,1,1,1,1,33,1
3,13,001,1,206017,1,1,1,1,86,1
3,13,001,1,206128,1,1,1,1,57,9
3,13,001,1,206199,4,1,1,1,27,1
3,13,001,1,206202,1,1,1,1,29,1
3,13,001,1,206234,1,1,1,1,74,1
3,13,001,1,206294,1,2,1,2,90,1
3,13,001,1,206775,1,2,1,1,1,2
3,13,001,1,206830,1,1,1,1,69,9
3,13,001,1,206846,1,1,1,2,55,1
3,13,001,1,218307,2,1,1,1,52,9
3,13,001,1,218315,1,1,1,1,74,2
3,13,001,1,218331,1,1,1,1,52,1
3,13,001,1,218349,1,1,1,2,68,1
3,13,001,1,218473,1,1,1,2,50,9
3,13,001,1,218509,1,1,1,1,80,1
3,13,001,1,218509,1,1,2,2,102,1
3,13,001,1,219286,5,1,1,1,53,9
3,13,001,1,243796,5,1,1,2,34,1
3,13,001,1,243796,5,1,2,2,69,1
3,13,001,1,243814,4,1,1,2,70,1
3,13,001,1,243814,4,1,2,2,42,1
3,13,001,1,244132,2,1,1,2,45,1
3,13,001,1,247596,1,2,1,1,72,9
3,13,001,1,247599,1,1,1,2,89,1
3,13,001,1,247599,1,1,2,2,95,1
3,13,001,1,247608,1,1,1,1,27,9
3,13,001,1,262615,1,1,1,2,46,9
3,13,001,1,266679,1,1,1,2,87,1
3,13,001,1,266692,1,1,1,2,84,1
3,13,001,1,266745,2,1,1,1,0,1
3,13,001,1,266800,1,1,1,1,64,1
3,13,001,1,267288,3,1,1,2,86,9
3,13,001,1,272128,2,1,1,1,74,1
3,13,001,1,294045,1,1,1,2,0,1
3,13,001,1,294132,1,1,1,2,43,1
3,13,001,1,294178,1,1,1,2,75,1
3,13,001,1,294206,66,1,1,1,0,9
3,13,001,1,295213,1,1,1,2,80,1
3,13,001,1,295273,1,1,1,1,109,1
3,13,001,1,295353,1,1,1,2,72,1
3,13,001,1,300350,1,1,1,2,84,1
3,13,001,1,300398,1,1,1,1,62,1
3,13,001,1,300694,4,1,1,2,73,1
3,13,001,1,301074,1,1,1,2,108,1
3,13,001,1,301394,1,1,1,1,60,1
3,13,001,1,301411,1,1,1,1,60,2
3,13,001,1,301514,5,1,1,1,39,1
3,13,001,1,301514,5,1,2,1,34,1
3,13,001,1,321613,1,1,1,1,72,1
3,13,001,1,322649,1,1,1,1,76,9
3,13,001,1,336666,5,1,1,1,35,9
3,13,001,1,336774,1,1,1,1,69,1
3,13,001,1,346392,1,1,1,1,84,1
3,13,001,1,346489,1,1,1,1,67,1
3,13,001,1,346502,1,1,1,2,87,1
3,13,001,1,347561,2,1,1,1,79,1
3,13,001,1,347571,3,1,1,1,79,1
3,13,001,1,347583,1,1,1,1,79,1
3,13,001,1,349533,1,1,1,1,88,1
3,13,001,1,355504,2,1,1,2,86,1
3,13,001,1,355752,1,1,1,2,81,1
3,13,001,1,359560,1,1,1,1,76,1
3,13,001,1,368810,37,1,1,1,47,1
3,13,001,1,371277,1,1,1,1,82,1
3,13,001,1,373994,1,1,1,1,58,2
3,13,001,1,378140,2,1,1,2,82,1
3,13,001,1,391110,1,1,1,2,37,1
3,13,001,1,396298,7,1,1,2,72,1
3,13,001,1,397339,1,1,1,1,50,1
3,13,001,1,399612,95,1,1,1,57,1
3,13,001,1,406081,1,1,1,1,77,1
3,13,001,1,407606,1,1,1,1,80,9
3,13,001,1,407709,1,1,1,2,1,2
3,13,001,1,469310,1,2,1,2,66,1
3,13,001,1,478649,4,1,1,1,24,1
3,13,001,1,478675,2,1,1,2,87,1
3,13,001,1,478807,1,1,1,1,58,1
3,13,001,1,478807,1,1,2,1,52,1
3,13,001,1,478807,1,1,3,2,79,1
3,13,001,1,478807,1,1,4,1,46,1
3,13,001,1,491098,2,1,1,2,80,9
3,13,001,1,491545,1,1,1,1,82,1
3,13,001,1,491701,24,1,1,1,75,2
3,13,001,1,492081,1,1,1,2,96,1
3,13,001,1,518296,8,1,1,1,77,1
3,13,001,1,524703,13,1,1,2,89,1
3,13,001,1,551065,1,1,1,2,74,1
3,13,001,1,551084,1,1,1,1,94,1
3,13,001,1,553244,2,1,1,1,76,1
3,13,001,1,593620,1,1,1,2,60,1
3,13,001,1,593687,2,1,1,2,58,1
3,13,001,1,596724,1,1,1,1,75,1
3,13,001,1,600347,1,1,1,1,86,1
3,13,001,1,600735,2,1,1,1,72,1
3,13,001,1,600901,3,1,1,1,88,1
3,13,001,1,601271,2,1,1,2,2,1
3,13,001,1,602363,2,1,1,2,85,1
3,13,001,1,609761,1,1,1,2,66,1
3,13,001,1,611269,3,1,1,1,75,1
3,13,001,1,633952,1,1,1,2,62,1
3,13,001,1,641608,6,1,1,1,0,2
3,13,001,1,645148,1,1,1,2,62,1
3,13,001,1,646112,1,1,1,2,0,9
3,13,001,1,673044,2,1,1,1,28,1
3,13,001,1,700388,54,1,1,1,78,1
3,13,001,1,742194,1,1,1,2,87,1
3,13,001,1,742319,2,1,1,1,45,1
3,13,001,1,742393,1,1,1,1,70,1
3,13,001,1,742427,1,1,1,1,11,1
3,13,001,1,744615,1,2,1,1,68,9
3,13,001,1,749719,2,1,1,2,92,1
3,13,001,1,749727,1,1,1,1,17,9
3,13,001,1,749727,1,1,2,2,92,1
3,13,001,1,798514,1,1,1,1,87,1
3,13,001,1,800147,1,1,1,1,67,1
3,13,001,1,800155,3,1,1,2,56,1
3,13,001,1,800317,1,1,1,1,80,1
3,13,001,1,802097,2,1,1,2,86,1
3,13,001,1,802358,1,1,1,2,93,1
3,13,001,1,802966,2,1,1,1,55,1
3,13,001,1,802980,1,1,1,1,47,1
3,13,001,1,803750,1,1,1,2,94,1
3,13,001,1,803750,1,1,2,1,80,1
3,13,001,1,803812,1,2,1,2,86,1
3,13,001,1,804500,1,1,1,1,72,1
3,13,001,1,869989,1,1,1,2,71,1
3,13,001,1,880883,1,1,1,2,65,1
3,13,001,1,880977,1,1,1,1,20,9
3,13,001,1,880983,1,1,1,1,58,1
3,13,001,1,881107,1,1,1,1,82,1
3,13,001,1,881122,3,1,1,1,78,1
3,13,001,1,881274,1,1,1,2,28,1
3,13,001,1,911636,2,1,1,1,98,2
3,13,001,1,911672,2,1,1,1,67,1
3,13,001,1,911692,2,1,1,1,44,1
3,13,001,1,939319,1,1,1,1,0,9
3,13,001,1,989721,1,1,1,1,0,9
3,13,001,1,989766,1,1,1,1,0,9
3,13,001,1,989927,3,1,1,2,82,1
3,13,001,1,990220,1,1,1,2,17,1
3,13,001,1,990422,3,1,1,1,35,1
3,13,001,1,990549,1,1,1,1,63,1
3,13,001,1,1038988,2,1,1,1,48,1
3,13,001,1,1039302,1,1,1,2,34,1
3,13,001,1,1040037,1,1,1,1,89,1
3,13,001,1,1040066,1,1,1,2,80,1
3,13,001,1,1121863,2,2,1,1,23,1
3,13,001,1,1121982,1,1,1,1,23,1
3,13,001,1,1123417,2,1,1,1,62,1
3,13,001,1,1123417,2,1,2,1,54,1
3,13,001,1,1136509,1,1,1,2,95,1
3,13,001,1,1191240,1,1,1,1,45,1
3,13,001,1,1191539,1,1,1,2,83,1
3,13,001,1,1192722,1,1,1,1,52,1
3,13,001,1,1192900,1,1,1,1,78,1
3,13,001,1,1193009,3,1,1,2,96,1
3,13,001,1,1193025,2,1,1,2,96,1
3,13,001,1,1246617,1,1,1,1,45,9
3,13,001,1,1246626,1,1,1,1,1,9
3,13,001,1,1247836,2,1,1,2,68,1
3,13,001,1,1247836,2,1,2,2,90,1
3,13,001,1,1249048,1,1,1,2,34,1
3,13,001,1,1249048,1,1,2,1,86,1
3,13,001,1,1249048,1,1,3,2,84,1
3,13,001,1,1249305,4,1,1,2,92,1
3,13,001,1,1249332,12,1,1,1,89,1
3,13,001,1,1249683,5,1,1,2,52,1
3,13,001,1,1251403,1,1,1,2,53,1
3,13,001,1,1271317,4,1,1,1,72,1
3,13,001,1,1287288,3,1,1,2,84,1
3,13,001,1,1287293,1,1,1,2,96,1
3,13,001,1,1287338,2,1,1,1,90,1
3,13,001,1,1287374,2,1,1,1,64,9
3,13,001,1,1348289,1,1,1,1,89,1
3,13,001,1,1349172,3,1,1,2,71,1
